uid,premise,hypothesis,label,metadata
2269,"Front-end rigidity keeps the bike going where you point it, no questions asked. Nothing is perfect, though, not even the Mojo. One ride on a trail frequented by cows and you'll see why the bottom of the down tube is a good place for a battery, not a water bottle.","The bottom of the down tube is a good place for a battery, not a water bottle.",E,"{'context1': 'Front-end rigidity keeps the bike going where you point it, no questions asked.', 'context2': 'Nothing is perfect, though, not even the Mojo.', 'target_sentence': ""One ride on a trail frequented by cows and you'll see why the bottom of the down tube is a good place for a battery, not a water bottle."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'see', 'embedded_question': 'why the bottom of the down tube is a good place for a battery , not a water bottle'}"", 'trigger_type': 'embedded_question', 'annotator': 'AW', 'nli_labels': ['E', 'E', 'E', 'E', 'E'], 'ratings': [85.66, 100.0, 100.0, 100.0, 100.0]}"
227-neg,"And if they were, they're probably gone now? Dr. KISSINGER: And I know that there were some there",There were some there.,E,"{'context1': ""And if they were, they're probably gone now?"", 'context2': 'Dr. KISSINGER:', 'target_sentence': 'And I know that there were some there', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': True, 'trigger_data': ""{'factive': 'know', 'embedded_clause': 'that there were any there'}"", 'trigger_type': 'clause_embedding_predicates', 'annotator': 'ZZ', 'nli_labels': ['E', 'E', 'N', 'E', 'E'], 'ratings': [100.0, 99.06, 86.27, 99.12, 100.0]}"
227,"And if they were, they're probably gone now? Dr. KISSINGER: And I don't know that there were any there",There were some there.,N,"{'context1': ""And if they were, they're probably gone now?"", 'context2': 'Dr. KISSINGER:', 'target_sentence': ""And I don't know that there were any there"", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': True, 'trigger_data': ""{'factive': 'know', 'embedded_clause': 'that there were any there'}"", 'trigger_type': 'clause_embedding_predicates', 'annotator': 'ZZ', 'nli_labels': ['N', 'N', 'N', 'E', 'E'], 'ratings': [37.4, 36.25, 5.39, 98.99, 99.96]}"
2274-neg,"Hours after the Predator mission ended, Border Patrol agents called to say they've captured 18 of the 31 illegal immigrants in that group. Others got away. We know where they are now.",The immigrants that got away are somewhere.,E,"{'context1': ""Hours after the Predator mission ended, Border Patrol agents called to say they've captured 18 of the 31 illegal immigrants in that group."", 'context2': 'Others got away.', 'target_sentence': 'We know where they are now.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': True, 'trigger_data': ""{'predicate': 'know', 'embedded_question': 'where they are now'}"", 'trigger_type': 'embedded_question', 'annotator': 'AW', 'nli_labels': ['E', 'E', 'E', 'E', 'E'], 'ratings': [100.0, 100.0, 100.0, 96.93, 99.37]}"
2274,"Hours after the Predator mission ended, Border Patrol agents called to say they've captured 18 of the 31 illegal immigrants in that group. Others got away. We don't know where they are now.",The immigrants that got away are somewhere.,E,"{'context1': ""Hours after the Predator mission ended, Border Patrol agents called to say they've captured 18 of the 31 illegal immigrants in that group."", 'context2': 'Others got away.', 'target_sentence': ""We don't know where they are now."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': True, 'trigger_data': ""{'predicate': 'know', 'embedded_question': 'where they are now'}"", 'trigger_type': 'embedded_question', 'annotator': 'AW', 'nli_labels': ['E', 'E', 'E', 'E', 'E'], 'ratings': [100.0, 99.54, 100.0, 98.16, 100.0]}"
2277-neg,"The story began provocatively enough-- ""' I don't regret setting bombs,' Bill Ayers said "" --but nobody read it. Indeed, the edition of the Times published that morning might count as the least-read edition in the paper's history. That means the story was forgotten.",The story was forgotten.,E,"{'context1': 'The story began provocatively enough-- ""\' I don\'t regret setting bombs,\' Bill Ayers said "" --but nobody read it.', 'context2': ""Indeed, the edition of the Times published that morning might count as the least-read edition in the paper's history."", 'target_sentence': 'That means the story was forgotten.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': True, 'trigger_data': ""{'factive': 'mean', 'embedded_clause': 'the story was forgotten'}"", 'trigger_type': 'clause_embedding_predicates', 'annotator': 'AW', 'nli_labels': ['E', 'E', 'E', 'E', 'E'], 'ratings': [99.34, 99.99, 100.0, 100.0, 99.85]}"
2277,"The story began provocatively enough-- ""' I don't regret setting bombs,' Bill Ayers said "" --but nobody read it. Indeed, the edition of the Times published that morning might count as the least-read edition in the paper's history. That doesn't mean the story was forgotten.",The story was forgotten.,C,"{'context1': 'The story began provocatively enough-- ""\' I don\'t regret setting bombs,\' Bill Ayers said "" --but nobody read it.', 'context2': ""Indeed, the edition of the Times published that morning might count as the least-read edition in the paper's history."", 'target_sentence': ""That doesn't mean the story was forgotten."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': True, 'trigger_data': ""{'factive': 'mean', 'embedded_clause': 'the story was forgotten'}"", 'trigger_type': 'clause_embedding_predicates', 'annotator': 'AW', 'nli_labels': ['N', 'C', 'C', 'C', 'N'], 'ratings': [33.97, 1.12, 0.0, 0.0, 29.26]}"
228-neg," TILLMAN: Its economic issues, the war that s going on right now, the war against terror, as well as the one we have in Iraq, I mean, the war against terror is kind of hard to define in where its at, and I don't think those are the two main issues for me right now.",those are the two main issues for me right now.,C,"{'context1': '', 'context2': 'TILLMAN:', 'target_sentence': ""Its economic issues, the war that s going on right now, the war against terror, as well as the one we have in Iraq, I mean, the war against terror is kind of hard to define in where its at, and I don't think those are the two main issues for me right now."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'factive': 'think', 'embedded_clause': 'those are the two main issues for me right now'}"", 'trigger_type': 'clause_embedding_predicates', 'annotator': 'ZZ', 'nli_labels': ['E', 'C', 'N', 'C', 'C'], 'ratings': [98.37, 1.08, 6.24, 0.0, 0.0]}"
228," TILLMAN: Its economic issues, the war that s going on right now, the war against terror, as well as the one we have in Iraq, I mean, the war against terror is kind of hard to define in where its at, but I think those are the two main issues for me right now.",those are the two main issues for me right now.,E,"{'context1': '', 'context2': 'TILLMAN:', 'target_sentence': 'Its economic issues, the war that s going on right now, the war against terror, as well as the one we have in Iraq, I mean, the war against terror is kind of hard to define in where its at, but I think those are the two main issues for me right now.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'factive': 'think', 'embedded_clause': 'those are the two main issues for me right now'}"", 'trigger_type': 'clause_embedding_predicates', 'annotator': 'ZZ', 'nli_labels': ['E', 'E', 'E', 'E', 'E'], 'ratings': [100.0, 100.0, 100.0, 100.0, 100.0]}"
2282,This is a question that everyone asks in our region. Israel's neighbors--Iran's neighbors know that Iran will become even more aggressive and sponsor even more terrorism when its economy is unshackled and it's been given a clear path to the bomb. And many of these neighbors say they'll respond by racing to get nuclear weapons of their own.,Many of these neighbors will respond by racing to get nuclear weapons of their own,N,"{'context1': 'This is a question that everyone asks in our region.', 'context2': ""Israel's neighbors--Iran's neighbors know that Iran will become even more aggressive and sponsor even more terrorism when its economy is unshackled and it's been given a clear path to the bomb."", 'target_sentence': ""And many of these neighbors say they'll respond by racing to get nuclear weapons of their own."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': '{\'factive\': \'say\', \'embedded_clause\': ""they \'ll respond by racing to get nuclear weapons of their own""}', 'trigger_type': 'clause_embedding_predicates', 'annotator': 'AW', 'nli_labels': ['N', 'N', 'N', 'N', 'E'], 'ratings': [88.61, 95.08, 76.23, 50.75, 100.0]}"
2285-neg,Trouble with a turnaround <  Bove doesn't say Prince inherited a mammoth company with a lot to fix.,Prince inherited a mammoth company with a lot to fix.,N,"{'context1': 'Trouble with a turnaround <', 'context2': '', 'target_sentence': ""Bove doesn't say Prince inherited a mammoth company with a lot to fix."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'factive': 'says', 'embedded_clause': 'Prince inherited a mammoth company with a lot to fix'}"", 'trigger_type': 'clause_embedding_predicates', 'annotator': 'AW', 'nli_labels': ['N', 'N', 'N', 'N', 'C'], 'ratings': [90.85, 66.74, 7.83, 5.06, 1.46]}"
2285,Trouble with a turnaround <  Bove says Prince inherited a mammoth company with a lot to fix.,Prince inherited a mammoth company with a lot to fix.,E,"{'context1': 'Trouble with a turnaround <', 'context2': '', 'target_sentence': 'Bove says Prince inherited a mammoth company with a lot to fix.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'factive': 'says', 'embedded_clause': 'Prince inherited a mammoth company with a lot to fix'}"", 'trigger_type': 'clause_embedding_predicates', 'annotator': 'AW', 'nli_labels': ['E', 'E', 'E', 'E', 'E'], 'ratings': [98.33, 100.0, 100.0, 100.0, 99.83]}"
2288-neg,"And when those moves exist, I'm going to take them, even if the percentage is lower than what I want it to be. More times than not, I don't take the 0% shots. "" Bad Brad' Keselowski doesn't want to be cast as NASCAR's villain, but he does think he is one.",Bad Brad' Keselowski is NASCAR's villain.,N,"{'context1': ""And when those moves exist, I'm going to take them, even if the percentage is lower than what I want it to be."", 'context2': 'More times than not, I don\'t take the 0% shots. ""', 'target_sentence': ""Bad Brad' Keselowski doesn't want to be cast as NASCAR's villain, but he does think he is one."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': True, 'trigger_data': ""{'factive': 'think', 'embedded_clause': 'he is one'}"", 'trigger_type': 'clause_embedding_predicates', 'annotator': 'AW', 'nli_labels': ['N', 'N', 'N', 'E', 'N'], 'ratings': [61.15, 70.19, 92.72, 99.34, 90.93]}"
2288,"And when those moves exist, I'm going to take them, even if the percentage is lower than what I want it to be. More times than not, I don't take the 0% shots. "" Bad Brad' Keselowski doesn't want to be cast as NASCAR's villain, nor does he think he is one.",Bad Brad' Keselowski is NASCAR's villain.,N,"{'context1': ""And when those moves exist, I'm going to take them, even if the percentage is lower than what I want it to be."", 'context2': 'More times than not, I don\'t take the 0% shots. ""', 'target_sentence': ""Bad Brad' Keselowski doesn't want to be cast as NASCAR's villain, nor does he think he is one."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': True, 'trigger_data': ""{'factive': 'think', 'embedded_clause': 'he is one'}"", 'trigger_type': 'clause_embedding_predicates', 'annotator': 'AW', 'nli_labels': ['N', 'N', 'N', 'N', 'N'], 'ratings': [14.34, 51.95, 85.55, 25.82, 63.03]}"
2289-neg,They didn't even have the guts to go down swinging. KWAME-HOLMAN: Marine commanders do not say capture of the airfield will help prevent high level Iraqi leaders from leaving the country.,Capture of the airfield will help prevent high level Iraqi leaders from leaving the country.,N,"{'context1': ""They didn't even have the guts to go down swinging."", 'context2': 'KWAME-HOLMAN:', 'target_sentence': 'Marine commanders do not say capture of the airfield will help prevent high level Iraqi leaders from leaving the country.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'factive': 'say', 'embedded_clause': 'capture of the airfield will help prevent high level Iraqi leaders from leaving the country'}"", 'trigger_type': 'clause_embedding_predicates', 'annotator': 'AW', 'nli_labels': ['C', 'N', 'N', 'N', 'C'], 'ratings': [2.07, 39.88, 53.15, 13.53, 0.12]}"
2289,They didn't even have the guts to go down swinging. KWAME-HOLMAN: Marine commanders say capture of the airfield will help prevent high level Iraqi leaders from leaving the country.,Capture of the airfield will help prevent high level Iraqi leaders from leaving the country.,E,"{'context1': ""They didn't even have the guts to go down swinging."", 'context2': 'KWAME-HOLMAN:', 'target_sentence': 'Marine commanders say capture of the airfield will help prevent high level Iraqi leaders from leaving the country.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'factive': 'say', 'embedded_clause': 'capture of the airfield will help prevent high level Iraqi leaders from leaving the country'}"", 'trigger_type': 'clause_embedding_predicates', 'annotator': 'AW', 'nli_labels': ['E', 'E', 'E', 'E', 'E'], 'ratings': [99.37, 100.0, 100.0, 98.92, 98.58]}"
2290-neg,"The case, in 1994, concerned a fall Mr. Batra said he had from a swivel chair in his office. He sued the Brooklyn company that sold him the chair. He did not say the fall had left him with herniated disks, loss of height, worn-down teeth, heart damage and frustration and anger that ""leaks out in certain relationships,"" according to court papers.","The fall had left him with herniated disks, loss of height, worn-down teeth, heart damage and frustration and anger.",N,"{'context1': 'The case, in 1994, concerned a fall Mr. Batra said he had from a swivel chair in his office.', 'context2': 'He sued the Brooklyn company that sold him the chair.', 'target_sentence': 'He did not say the fall had left him with herniated disks, loss of height, worn-down teeth, heart damage and frustration and anger that ""leaks out in certain relationships,"" according to court papers.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': '{\'factive\': \'said\', \'embedded_clause\': \'the fall had left him with herniated disks , loss of height , worn - down teeth , heart damage and frustration and anger that "" leaks out in certain relationships , "" according to court papers\'}', 'trigger_type': 'clause_embedding_predicates', 'annotator': 'AW', 'nli_labels': ['C', 'N', 'C', 'N', 'N'], 'ratings': [0.21, 91.35, 0.0, 5.06, 16.79]}"
2290,"The case, in 1994, concerned a fall Mr. Batra said he had from a swivel chair in his office. He sued the Brooklyn company that sold him the chair. He said the fall had left him with herniated disks, loss of height, worn-down teeth, heart damage and frustration and anger that ""leaks out in certain relationships,"" according to court papers.","The fall had left him with herniated disks, loss of height, worn-down teeth, heart damage and frustration and anger.",E,"{'context1': 'The case, in 1994, concerned a fall Mr. Batra said he had from a swivel chair in his office.', 'context2': 'He sued the Brooklyn company that sold him the chair.', 'target_sentence': 'He said the fall had left him with herniated disks, loss of height, worn-down teeth, heart damage and frustration and anger that ""leaks out in certain relationships,"" according to court papers.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': '{\'factive\': \'said\', \'embedded_clause\': \'the fall had left him with herniated disks , loss of height , worn - down teeth , heart damage and frustration and anger that "" leaks out in certain relationships , "" according to court papers\'}', 'trigger_type': 'clause_embedding_predicates', 'annotator': 'AW', 'nli_labels': ['E', 'N', 'E', 'E', 'E'], 'ratings': [89.71, 96.14, 100.0, 100.0, 100.0]}"
2291-neg,"All terribly Masterpiece Theatre. Ah well, a pretty picture but not very likely. She didn't know she was not to the manner born.",She was born to the manner.,C,"{'context1': 'All terribly Masterpiece Theatre.', 'context2': 'Ah well, a pretty picture but not very likely.', 'target_sentence': ""She didn't know she was not to the manner born."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'factive': 'knew', 'embedded_clause': 'She was not'}"", 'trigger_type': 'clause_embedding_predicates', 'annotator': 'AW', 'nli_labels': ['C', 'C', 'C', 'N', 'C'], 'ratings': [0.0, 0.51, 0.0, 3.63, 0.0]}"
2291,"All terribly Masterpiece Theatre. Ah well, a pretty picture but not very likely. She knew she was not to the manner born.",She was born to the manner.,C,"{'context1': 'All terribly Masterpiece Theatre.', 'context2': 'Ah well, a pretty picture but not very likely.', 'target_sentence': 'She knew she was not to the manner born.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'factive': 'knew', 'embedded_clause': 'She was not'}"", 'trigger_type': 'clause_embedding_predicates', 'annotator': 'AW', 'nli_labels': ['C', 'C', 'C', 'C', 'C'], 'ratings': [0.0, 0.0, 0.0, 0.0, 0.19]}"
2294-neg,"We hope and expect to have full Iraqi cooperation. We shall leave behind us a number of people who will be dealing with the practical things, setting up communications, transportation and preparation for the inspection. Already by the 27th of November, we don't think that the first inspectors will be on their way and on the job in Iraq.",The first inspectors will be on their way and on the job in Iraq.,N,"{'context1': 'We hope and expect to have full Iraqi cooperation.', 'context2': 'We shall leave behind us a number of people who will be dealing with the practical things, setting up communications, transportation and preparation for the inspection.', 'target_sentence': ""Already by the 27th of November, we don't think that the first inspectors will be on their way and on the job in Iraq."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'factive': 'think', 'embedded_clause': 'that the first inspectors will be on their way and on the job in Iraq'}"", 'trigger_type': 'clause_embedding_predicates', 'annotator': 'AW', 'nli_labels': ['E', 'N', 'N', 'N', 'N'], 'ratings': [99.49, 24.02, 36.39, 9.94, 90.59]}"
2294,"We hope and expect to have full Iraqi cooperation. We shall leave behind us a number of people who will be dealing with the practical things, setting up communications, transportation and preparation for the inspection. Already by the 27th of November, we think that the first inspectors will be on their way and on the job in Iraq.",The first inspectors will be on their way and on the job in Iraq.,E,"{'context1': 'We hope and expect to have full Iraqi cooperation.', 'context2': 'We shall leave behind us a number of people who will be dealing with the practical things, setting up communications, transportation and preparation for the inspection.', 'target_sentence': 'Already by the 27th of November, we think that the first inspectors will be on their way and on the job in Iraq.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'factive': 'think', 'embedded_clause': 'that the first inspectors will be on their way and on the job in Iraq'}"", 'trigger_type': 'clause_embedding_predicates', 'annotator': 'AW', 'nli_labels': ['N', 'N', 'E', 'E', 'E'], 'ratings': [67.3, 80.48, 100.0, 97.14, 100.0]}"
2296-neg,"OSGOOD So are there likely to be any surprises where th I think we're likely to see Hillary Clinton doing an Oprah Winfrey kind of walk-around, talk-around as--as Liddy Dole did.","We're likely to see Hillary Clinton doing an Oprah Winfrey kind of walk-around, talk-around as--as Liddy Dole did.",E,"{'context1': 'OSGOOD', 'context2': 'So are there likely to be any surprises where th', 'target_sentence': ""I think we're likely to see Hillary Clinton doing an Oprah Winfrey kind of walk-around, talk-around as--as Liddy Dole did."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': True, 'trigger_data': '{\'factive\': \'think\', \'embedded_clause\': ""we \'re likely to see Hillary Clinton doing an Oprah Winfrey kind of walk - around , talk - around as -- as Liddy Dole did""}', 'trigger_type': 'clause_embedding_predicates', 'annotator': 'AW', 'nli_labels': ['E', 'E', 'E', 'E', 'E'], 'ratings': [100.0, 98.77, 100.0, 100.0, 100.0]}"
2296,"OSGOOD So are there likely to be any surprises where th I don't think we're likely to see Hillary Clinton doing an Oprah Winfrey kind of walk-around, talk-around as--as Liddy Dole did.","We're likely to see Hillary Clinton doing an Oprah Winfrey kind of walk-around, talk-around as--as Liddy Dole did.",N,"{'context1': 'OSGOOD', 'context2': 'So are there likely to be any surprises where th', 'target_sentence': ""I don't think we're likely to see Hillary Clinton doing an Oprah Winfrey kind of walk-around, talk-around as--as Liddy Dole did."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': True, 'trigger_data': '{\'factive\': \'think\', \'embedded_clause\': ""we \'re likely to see Hillary Clinton doing an Oprah Winfrey kind of walk - around , talk - around as -- as Liddy Dole did""}', 'trigger_type': 'clause_embedding_predicates', 'annotator': 'AW', 'nli_labels': ['N', 'N', 'N', 'N', 'C'], 'ratings': [7.75, 4.6, 2.7, 19.64, 0.0]}"
2299-neg,""" What's happening with tendons and soft tissues that we didn't see 10 or 15 years ago? Are we weaker, do we have a softer lifestyle? I don't tend to believe we are softer, "" she said.",We are softer than 10 or 15 years ago.,N,"{'context1': '"" What\'s happening with tendons and soft tissues that we didn\'t see 10 or 15 years ago?', 'context2': 'Are we weaker, do we have a softer lifestyle?', 'target_sentence': 'I don\'t tend to believe we are softer, "" she said.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'factive': 'believe', 'embedded_clause': 'we are softer'}"", 'trigger_type': 'clause_embedding_predicates', 'annotator': 'AW', 'nli_labels': ['N', 'N', 'N', 'N', 'N'], 'ratings': [83.1, 68.96, 10.29, 88.61, 48.05]}"
2299,""" What's happening with tendons and soft tissues that we didn't see 10 or 15 years ago? Are we weaker, do we have a softer lifestyle? I tend to believe we are softer, "" she said.",We are softer than 10 or 15 years ago.,E,"{'context1': '"" What\'s happening with tendons and soft tissues that we didn\'t see 10 or 15 years ago?', 'context2': 'Are we weaker, do we have a softer lifestyle?', 'target_sentence': 'I tend to believe we are softer, "" she said.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'factive': 'believe', 'embedded_clause': 'we are softer'}"", 'trigger_type': 'clause_embedding_predicates', 'annotator': 'AW', 'nli_labels': ['E', 'N', 'E', 'N', 'E'], 'ratings': [97.98, 75.09, 95.71, 84.93, 99.64]}"
23-neg,It went on and on until I knew I'd gotten the wish I'd made down by the river. Oblivion. Landry didn't collapse heavily atop me.,Landry was standing before.,N,"{'context1': ""It went on and on until I knew I'd gotten the wish I'd made down by the river."", 'context2': 'Oblivion.', 'target_sentence': ""Landry didn't collapse heavily atop me."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'collapsed'}"", 'trigger_type': 'change_of_state', 'annotator': 'ZZ', 'nli_labels': ['N', 'N', 'N', 'E', 'N'], 'ratings': [49.7, 50.45, 48.65, 100.0, 55.98]}"
23,It went on and on until I knew I'd gotten the wish I'd made down by the river. Oblivion. Landry collapsed heavily atop me.,Landry was standing before.,E,"{'context1': ""It went on and on until I knew I'd gotten the wish I'd made down by the river."", 'context2': 'Oblivion.', 'target_sentence': 'Landry collapsed heavily atop me.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'collapsed'}"", 'trigger_type': 'change_of_state', 'annotator': 'ZZ', 'nli_labels': ['E', 'E', 'N', 'N', 'E'], 'ratings': [100.0, 100.0, 47.9, 87.56, 100.0]}"
230-neg,"Right? KELLY SMITH, CLEMSON UNIVERSITY DEPARTMENT OF PHILOSOPHY AND RELIGION: Well, I don't think the universe is such an incredibly huge place, that the chances that there isn't life anywhere out there are virtually zero.","the universe is such an incredibly huge place, that the chances that there isn't life anywhere out there are virtually zero.",N,"{'context1': 'Right?', 'context2': 'KELLY SMITH, CLEMSON UNIVERSITY DEPARTMENT OF PHILOSOPHY AND RELIGION:', 'target_sentence': ""Well, I don't think the universe is such an incredibly huge place, that the chances that there isn't life anywhere out there are virtually zero."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': '{\'factive\': \'think\', \'embedded_clause\': ""the universe is such an incredibly huge place , that the chances that there is n\'t life anywhere out there are virtually zero""}', 'trigger_type': 'clause_embedding_predicates', 'annotator': 'ZZ', 'nli_labels': ['N', 'N', 'E', 'E', 'N'], 'ratings': [66.31, 4.73, 100.0, 100.0, 39.73]}"
230,"Right? KELLY SMITH, CLEMSON UNIVERSITY DEPARTMENT OF PHILOSOPHY AND RELIGION: Well, I think the universe is such an incredibly huge place, that the chances that there isn't life anywhere out there are virtually zero.","the universe is such an incredibly huge place, that the chances that there isn't life anywhere out there are virtually zero.",E,"{'context1': 'Right?', 'context2': 'KELLY SMITH, CLEMSON UNIVERSITY DEPARTMENT OF PHILOSOPHY AND RELIGION:', 'target_sentence': ""Well, I think the universe is such an incredibly huge place, that the chances that there isn't life anywhere out there are virtually zero."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': '{\'factive\': \'think\', \'embedded_clause\': ""the universe is such an incredibly huge place , that the chances that there is n\'t life anywhere out there are virtually zero""}', 'trigger_type': 'clause_embedding_predicates', 'annotator': 'ZZ', 'nli_labels': ['E', 'E', 'E', 'E', 'E'], 'ratings': [99.16, 97.98, 92.25, 95.27, 99.12]}"
2300-neg,"But the Jaguars also were heartened by the running of Fred Taylor, who picked up 74 yards and caught six passes for another 41. It seemed Taylor's career might be over In Jacksonville, but not If he keeps performing as he did in this one. ""I really don't believe we're going to be a real good offense,"" Del Rio says.",The Jaguars are going to be a good offense.,N,"{'context1': 'But the Jaguars also were heartened by the running of Fred Taylor, who picked up 74 yards and caught six passes for another 41.', 'context2': ""It seemed Taylor's career might be over In Jacksonville, but not If he keeps performing as he did in this one."", 'target_sentence': '""I really don\'t believe we\'re going to be a real good offense,"" Del Rio says.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': '{\'factive\': \'believe\', \'embedded_clause\': ""we \'re going to be a real good offense""}', 'trigger_type': 'clause_embedding_predicates', 'annotator': 'AW', 'nli_labels': ['N', 'N', 'N', 'E', 'C'], 'ratings': [36.25, 5.53, 16.9, 96.49, 0.0]}"
2300,"But the Jaguars also were heartened by the running of Fred Taylor, who picked up 74 yards and caught six passes for another 41. It seemed Taylor's career might be over In Jacksonville, but not If he keeps performing as he did in this one. ""I really believe we're going to be a real good offense,"" Del Rio says.",The Jaguars are going to be a good offense.,N,"{'context1': 'But the Jaguars also were heartened by the running of Fred Taylor, who picked up 74 yards and caught six passes for another 41.', 'context2': ""It seemed Taylor's career might be over In Jacksonville, but not If he keeps performing as he did in this one."", 'target_sentence': '""I really believe we\'re going to be a real good offense,"" Del Rio says.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': '{\'factive\': \'believe\', \'embedded_clause\': ""we \'re going to be a real good offense""}', 'trigger_type': 'clause_embedding_predicates', 'annotator': 'AW', 'nli_labels': ['N', 'E', 'N', 'N', 'E'], 'ratings': [51.2, 100.0, 79.66, 87.07, 91.84]}"
2301-neg,"After Edward died and it didn't seem like she was going to find somebody, some of us here wrote to her, you know, and what I said was:' You should come back. Come back to us and live with all your friends in Canterbury. ' She wrote me a short note and didn't say she couldn't.",She couldn't come back to Canterbury.,N,"{'context1': ""After Edward died and it didn't seem like she was going to find somebody, some of us here wrote to her, you know, and what I said was:' You should come back."", 'context2': ""Come back to us and live with all your friends in Canterbury. '"", 'target_sentence': ""She wrote me a short note and didn't say she couldn't."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': '{\'factive\': \'said\', \'embedded_clause\': ""she could n\'t""}', 'trigger_type': 'clause_embedding_predicates', 'annotator': 'AW', 'nli_labels': ['C', 'N', 'N', 'C', 'N'], 'ratings': [0.0, 7.91, 49.7, 0.0, 49.7]}"
